TotalUnits,ActiveSubs,Latitude,Longitude,OwnerType
24,1,40.45694,-80.0108,For Profit
25,1,40.45697,-80.01677,Non-Profit
31,1,40.45699,-80.00886,Non-Profit
70,2,40.45721,-79.96498,Non-Profit
101,2,40.45742,-79.89769,For Profit
22,1,40.45809,-80.00048,For Profit
4,0,40.45825,-80.00837,For Profit
126,1,40.45827,-79.8881,For Profit
1,1,40.45834,-79.92296,For Profit
141,2,40.45864,-79.87383,Multiple
75,2,40.45865,-79.90258,Non-Profit
51,3,40.45899,-79.87417,For Profit
24,0,40.459011,-80.02137,Non-Profit
1,1,40.45903,-79.99424,For Profit
1,1,40.45938,-79.90507,For Profit
37,1,40.45993,-79.93057,Non-Profit
124,1,40.46172,-79.92197,For Profit
56,1,40.4618,-79.96604,For Profit
59,0,40.46207,-79.96257,For Profit
127,1,40.46215,-79.91928,Non-Profit
1,1,40.46225,-79.89624,For Profit
100,1,40.46301,-79.82879,For Profit
101,2,40.46314,-79.99184,Non-Profit
11,0,40.46333,-79.71063,Non-Profit
55,1,40.46341,-79.92875,Non-Profit
78,2,40.46375,-79.9295,Non-Profit
125,1,40.46394,-79.83838,For Profit
28,1,40.46409,-79.89688,For Profit
18,1,40.46462,-79.93186,Non-Profit
38,0,40.46469,-79.92861,Non-Profit
60,2,40.46482,-79.93375,Non-Profit
88,2,40.46482,-79.96428,Non-Profit
36,1,40.46489,-79.93765,Non-Profit
24,2,40.46489,-79.92473,Multiple
102,3,40.46529,-79.95785,Multiple
56,1,40.46548,-79.91903,Non-Profit
102,3,40.46611,-79.92055,Multiple
26,0,40.46632,-80.00991,Non-Profit
2,0,40.46653,-80.01202,For Profit
52,0,40.46681,-80.03086,For Profit
24,0,40.46712,-79.92795,Non-Profit
198,1,40.46721,-79.99357,For Profit
101,2,40.46784,-80.01034,For Profit
1,0,40.47092,-79.89002,For Profit
1,0,40.47092,-79.89002,For Profit
11,1,40.47127,-79.92453,Non-Profit
5,0,40.47157,-80.01392,For Profit
76,3,40.47166,-79.933,Non-Profit
80,2,40.47178,-80.01054,Non-Profit
45,1,40.471939,-79.936314,For Profit
8,0,40.47199,-80.01032,For Profit
81,3,40.47269,-79.89402,For Profit
6,0,40.47323,-79.79697,Non-Profit
51,0,40.47611,-79.9591,Non-Profit
50,2,40.47739,-80.04137,Non-Profit
10,0,40.47745,-79.93294,For Profit
18,0,40.47864,-80.04132,For Profit
99,2,40.48008,-80.03771,Non-Profit
11,2,40.48151,-80.01387,Non-Profit
43,0,40.48342,-80.03544,Non-Profit
36,2,40.48887,-79.75219,Non-Profit
69,1,40.4934,-80.05406,For Profit
13,0,40.49697,-79.86455,Non-Profit
47,2,40.49818,-79.94567,Non-Profit
100,2,40.50131,-80.06213,For Profit
71,1,40.51225,-80.0457,For Profit
49,2,40.51866,-79.95845,Non-Profit
88,1,40.5279,-80.02391,For Profit
93,1,40.5399,-80.01913,For Profit
135,2,40.54673,-80.02081,For Profit
60,4,40.5497,-80.0152,For Profit
60,0,40.55045,-80.03305,For Profit
30,2,40.55663,-80.05763,For Profit
132,1,29.91115,-89.98654,For Profit
81,0,29.9186,-89.98294,Non-Profit
